Date,Month-Year,Warehouse Code,Warehouse Name,Warehouse Country,Warehouse City,Customer Code,Customer Country,Customer City,Location,GPS 1,GPS 2,Road,Rail,Sea,Air,Order Number,Units,KG,CO2 Road,CO2 Rail,CO2 Sea,CO2 Air,CO2 Total,Delivery Mode
2025-01-08 00:00:00.000,1-2025,2501001,WAREHOUSE DELHI NORTH,INDIA,DELHI,6001002-02,INDIA,HYDERABAD,"INDIA, HYDERABAD",17.385,78.4867,1850.0,1400.0,0.0,1200.0,ORD2025002,1350.0,141.0,25.0416,5.527200000000001,0.0,355.32,385.8888,"Road,Rail,,Air"
2025-01-12 00:00:00.000,1-2025,2501002,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,6002001-01,INDIA,BANGALORE,"INDIA, BANGALORE",12.9716,77.5946,1450.0,1050.0,400.0,1000.0,ORD2025004,350.0,31.5,4.3848,0.9261000000000001,0.126,66.15,71.5869,"Road,Rail,Sea,Air"
2025-01-15 00:00:00.000,1-2025,2501002,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,6002002-02,INDIA,HYDERABAD,"INDIA, HYDERABAD",17.385,78.4867,1250.0,900.0,350.0,900.0,ORD2025005,430.0,22.2,2.664,0.5594399999999999,0.07769999999999999,41.958,45.25914,"Road,Rail,Sea,Air"
2025-06-07 00:00:00.000,6-2025,2501001,WAREHOUSE DELHI NORTH,INDIA,DELHI,6001012-12,INDIA,NAGPUR,"INDIA, NAGPUR",21.1458,79.0882,800.0,600.0,0.0,850.0,ORD2025026,35.0,1.75,0.13440000000000002,0.029400000000000003,0.0,3.1237500000000002,3.2875500000000004,"Road,Rail,,Air"
2025-07-03 00:00:00.000,7-2025,2501001,WAREHOUSE DELHI NORTH,INDIA,DELHI,6001013-13,INDIA,BHOPAL,"INDIA, BHOPAL",0.0,0.0,600.0,450.0,0.0,650.0,ORD2025028,240.0,24.0,1.3824,0.3024,0.0,32.76,34.4448,"Road,Rail,,Air"
2025-10-25 00:00:00.000,10-2025,2501002,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,7001007-07,UNITED ARAB EMIRATES,DUBAI,"UNITED ARAB EMIRATES, DUBAI",25.2048,55.2708,0.0,0.0,2150.0,2200.0,ORD2025039,600.0,66.0,0.0,0.0,1.419,304.9200000000001,306.33900000000006,",,Sea,Air"
2025-11-02 00:00:00.000,11-2025,2501003,WAREHOUSE BANGALORE SOUTH,INDIA,BANGALORE,6003023-23,INDIA,HYDERABAD,"INDIA, HYDERABAD",17.385,78.4867,850.0,620.0,0.0,800.0,ORD2025040,310.0,24.8,2.0236799999999997,0.43052799999999997,0.0,41.664,44.118208,"Road,Rail,,Air"
2025-11-25 00:00:00.000,11-2025,2501002,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,7001008-08,UNITED ARAB EMIRATES,ABU DHABI,"UNITED ARAB EMIRATES, ABU DHABI",24.4539,54.3773,0.0,0.0,2250.0,2190.0,ORD2025042,220.0,10010.0,0.0,0.0,225.225,46035.99,46261.215,",,Sea,Air"
2025-02-10 00:00:00.000,2-2025,2501003,WAREHOUSE BANGALORE SOUTH,INDIA,BANGALORE,6003001-01,INDIA,HYDERABAD,"INDIA, HYDERABAD",17.385,78.4867,850.0,620.0,0.0,800.0,ORD2025010,1800.0,4050.0,330.48,70.308,0.0,6804.0,7204.7880000000005,"Road,Rail,,Air"
2025-05-12 00:00:00.000,5-2025,2501002,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,7001001-01,UNITED ARAB EMIRATES,DUBAI,"UNITED ARAB EMIRATES, DUBAI",25.2048,55.2708,0.0,0.0,2000.0,2200.0,ORD2025023,500.0,55.0,0.0,0.0,1.1,254.10000000000002,255.20000000000002,",,Sea,Air"
