,Location,GPS 1,GPS 2
1,"INDIA, BANGALORE",12.9716,77.5946
2,"INDIA, HYDERABAD",17.3850,78.4867
3,"INDIA, PUNE",18.5204,73.8567
4,"INDIA, AHMEDABAD",23.0225,72.5714
5,"INDIA, JAIPUR",26.9124,75.7873
6,"INDIA, LUCKNOW",26.8467,80.9462
7,"INDIA, KANPUR",26.4499,80.3319
8,"INDIA, DELHI",28.7041,77.1025
9,"INDIA, MUMBAI",19.0760,72.8777
10,"INDIA, SURAT",21.1702,72.8311
11,"INDIA, NASHIK",19.9975,73.7898
12,"INDIA, COIMBATORE",11.0026,76.9124
13,"INDIA, KOCHI",9.9312,76.2673
14,"INDIA, CHANDIGARH",30.7333,76.7794
15,"INDIA, INDORE",22.7196,75.8577
16,"INDIA, NAGPUR",21.1458,79.0882
17,"UNITED ARAB EMIRATES, DUBAI",25.2048,55.2708
18,"UNITED ARAB EMIRATES, ABU DHABI",24.4539,54.3773
