Date,Month-Year,Warehouse Code,Customer Code,Order Number,Order Line Number,Item Code,Units,Euros
2025-01-05 00:00:00.000,1-2025,2501001,6001001-01,ORD2025001,1,963543-43,15.0,2850.00
2025-01-08 00:00:00.000,1-2025,2501001,6001002-02,ORD2025002,1,8902753-53,300.0,4500.00
2025-01-08 00:00:00.000,1-2025,2501001,6001002-02,ORD2025002,2,8308591-91,450.0,6750.00
2025-01-08 00:00:00.000,1-2025,2501001,6001002-02,ORD2025002,3,8308621-21,600.0,9000.00
2025-01-10 00:00:00.000,1-2025,2501001,6001003-03,ORD2025003,1,8022921-21,200.0,5500.00
2025-01-12 00:00:00.000,1-2025,2501002,6002001-01,ORD2025004,1,8128704-04,350.0,7200.00
2025-01-15 00:00:00.000,1-2025,2501002,6002002-02,ORD2025005,1,802077-77,250.0,4500.00
2025-01-15 00:00:00.000,1-2025,2501002,6002002-02,ORD2025005,2,888751-51,180.0,2700.00
2025-01-18 00:00:00.000,1-2025,2501002,6002003-03,ORD2025006,1,897001-01,220.0,4400.00
2025-01-20 00:00:00.000,1-2025,2501001,6001004-04,ORD2025007,1,8308601-01,280.0,5600.00
2025-02-02 00:00:00.000,2-2025,2501001,6001005-05,ORD2025008,1,993081-81,120.0,18000.00
2025-02-05 00:00:00.000,2-2025,2501002,6002004-04,ORD2025009,1,993081-81,95.0,14250.00
2025-02-08 00:00:00.000,2-2025,2501003,6003001-01,ORD2025010,1,802063-63,400.0,6000.00
2025-02-10 00:00:00.000,2-2025,2501003,6003001-01,ORD2025010,2,8128741-41,1800.0,9000.00
2025-02-12 00:00:00.000,2-2025,2501001,6001006-06,ORD2025011,1,963543-43,25.0,4750.00
2025-02-15 00:00:00.000,2-2025,2501002,6002005-05,ORD2025012,1,8902753-53,280.0,4200.00
2025-03-01 00:00:00.000,3-2025,2501003,6003002-02,ORD2025013,1,8308591-91,520.0,7800.00
2025-03-05 00:00:00.000,3-2025,2501001,6001007-07,ORD2025014,1,8308621-21,380.0,5700.00
2025-03-08 00:00:00.000,3-2025,2501002,6002006-06,ORD2025015,1,8022921-21,190.0,4750.00
2025-03-10 00:00:00.000,3-2025,2501003,6003003-03,ORD2025016,1,8128704-04,270.0,5400.00
2025-04-03 00:00:00.000,4-2025,2501001,6001008-08,ORD2025017,1,963543-43,45.0,8550.00
2025-04-07 00:00:00.000,4-2025,2501002,6002007-07,ORD2025018,1,8902753-53,320.0,4800.00
2025-04-10 00:00:00.000,4-2025,2501003,6003004-04,ORD2025019,1,8308591-91,600.0,9000.00
2025-04-15 00:00:00.000,4-2025,2501003,6003005-05,ORD2025020,1,8308621-21,420.0,6300.00
2025-05-02 00:00:00.000,5-2025,2501001,6001009-09,ORD2025021,1,8022921-21,310.0,7750.00
2025-05-06 00:00:00.000,5-2025,2501002,6002010-10,ORD2025022,1,8128704-04,260.0,5400.00
2025-05-12 00:00:00.000,5-2025,2501002,7001001-01,ORD2025023,1,8308601-01,500.0,10000.00
2025-05-20 00:00:00.000,5-2025,2501002,7001002-02,ORD2025024,1,897001-01,150.0,3000.00
2025-06-01 00:00:00.000,6-2025,2501003,6003011-11,ORD2025025,1,993081-81,200.0,30000.00
2025-06-07 00:00:00.000,6-2025,2501001,6001012-12,ORD2025026,1,963543-43,35.0,6650.00
2025-06-15 00:00:00.000,6-2025,2501002,7001003-03,ORD2025027,1,8902753-53,420.0,6300.00
2025-07-03 00:00:00.000,7-2025,2501001,6001013-13,ORD2025028,1,8308591-91,240.0,3600.00
2025-07-08 00:00:00.000,7-2025,2501002,6002014-14,ORD2025029,1,8308621-21,360.0,5400.00
2025-07-18 00:00:00.000,7-2025,2501003,7001004-04,ORD2025030,1,8128704-04,480.0,9600.00
2025-08-02 00:00:00.000,8-2025,2501003,6003015-15,ORD2025031,1,8022921-21,210.0,5250.00
2025-08-10 00:00:00.000,8-2025,2501001,6001016-16,ORD2025032,1,963543-43,60.0,11400.00
2025-08-20 00:00:00.000,8-2025,2501002,7001005-05,ORD2025033,1,8308601-01,750.0,15000.00
2025-09-05 00:00:00.000,9-2025,2501001,6001017-17,ORD2025034,1,993081-81,140.0,21000.00
2025-09-12 00:00:00.000,9-2025,2501002,6002018-18,ORD2025035,1,802063-63,320.0,4800.00
2025-09-20 00:00:00.000,9-2025,2501003,7001006-06,ORD2025036,1,8128741-41,950.0,4750.00
2025-10-03 00:00:00.000,10-2025,2501001,6001019-19,ORD2025037,1,8308591-91,130.0,1950.00
2025-10-11 00:00:00.000,10-2025,2501002,6002020-20,ORD2025038,1,8308621-21,410.0,6150.00
2025-10-25 00:00:00.000,10-2025,2501002,7001007-07,ORD2025039,1,8308601-01,600.0,12000.00
2025-11-02 00:00:00.000,11-2025,2501003,6003023-23,ORD2025040,1,897001-01,310.0,6200.00
2025-11-15 00:00:00.000,11-2025,2501001,6001024-24,ORD2025041,1,963543-43,90.0,17100.00
2025-11-25 00:00:00.000,11-2025,2501002,7001008-08,ORD2025042,1,993081-81,220.0,33000.00
2025-12-05 00:00:00.000,12-2025,2501001,6001026-26,ORD2025043,1,8308591-91,170.0,2550.00
2025-12-12 00:00:00.000,12-2025,2501002,7001009-09,ORD2025044,1,8128704-04,520.0,10400.00
2025-12-20 00:00:00.000,12-2025,2501003,6003030-30,ORD2025045,1,802063-63,410.0,6150.00
2025-12-28 00:00:00.000,12-2025,2501002,7001010-10,ORD2025046,1,8308601-01,980.0,19600.00
